,Unnamed: 0,S11,S12,S13,S14,S15,S16,S17
count,255.0,255.0,255.0,207.0,190.0,190.0,190.0,193.0
mean,127.0,2.149019607843137,6.337254901960784,3.531400966183575,3.1894736842105265,3.4157894736842107,4.3578947368421055,4.435233160621761
std,73.7563556583431,2.2764951432870015,3.5654709346663176,2.1469620597529153,2.0068387672975008,1.5772064104816046,2.597987782488896,1.8811571329622216
min,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,63.5,1.0,3.5,2.0,1.25,2.0,2.0,3.0
50%,127.0,1.0,6.0,3.0,3.0,3.0,4.0,4.0
75%,190.5,3.0,8.0,5.0,4.0,4.0,6.0,6.0
max,254.0,9.0,19.0,11.0,9.0,9.0,9.0,11.0
