,Enginel,HVAC Module,Collins and Aikman,A/C lines,A/C Ducts,Heater Hoses,Ambient Sensor,Final Productl,ServiceLevel
count,40.0,65.0,105.0,37.0,63.0,51.0,47.0,170.0,600.0
mean,74.0,49.53846153846154,188.61904761904762,77.62162162162163,105.74603174603175,77.88235294117646,95.14893617021276,163.93529411764706,0.826627746100819
std,29.997435787849497,25.844533345490177,45.59781981806995,41.54672827829684,54.81169178724209,36.31068551202168,30.504439251706536,68.84139597806569,0.19917629426114353
min,13.0,15.0,98.0,11.0,16.0,11.0,40.0,11.0,0.48255528255528257
25%,59.5,29.0,158.0,43.0,63.5,55.0,67.5,120.0,0.61764756624954
50%,83.5,46.0,181.0,82.0,100.0,78.0,95.0,162.0,1.0
75%,88.25,63.0,213.0,109.0,126.5,90.5,121.0,201.75,1.0
max,122.0,107.0,294.0,185.0,329.0,185.0,148.0,394.0,1.0
